Disposition Quarter,Number of cases with no continuances,Number of cases with at least one continuance,Total Cases,Percent of cases with at least 1 continuance
2019 Q1,1585,521,2106,24.73884141
2019 Q2,1546,454,2000,22.7
2019 Q3,1650,366,2016,18.1547619
2019 Q4,1552,346,1898,18.22971549
2020 Q1,1074,254,1328,19.12650602
2020 Q2,92,24,116,20.68965517
2020 Q3,391,121,512,23.6328125
2020 Q4,422,146,568,25.70422535
2021 Q1,361,116,477,24.31865828
2021 Q2,598,200,798,25.06265664
2021 Q3,580,509,1089,46.74012856
2021 Q4,737,634,1371,46.2436178
2022 Q1,558,297,855,34.73684211
2022 Q2,782,309,1091,28.32263978
2022 Q3,719,215,934,23.01927195
2022 Q4,595,153,748,20.45454545
2023 Q1,666,156,822,18.97810219
2023 Q2,710,136,846,16.07565012
2023 Q3,939,61,1000,6.1
2023 Q4,893,43,936,4.594017094
2024 Q1,991,42,1033,4.065827686
2024 Q2,1055,46,1101,4.178019982
2024 Q3,827,23,850,2.705882353
2024 Q4,431,13,444,2.927927928
