File Date,No Charge Reduction,Charge Reduction,Total Cases,Percent of Felony Cases with only Misdemeanor Convictions
2019 Q1,172,43,215,20
2019 Q2,189,44,233,18.88412017
2019 Q3,198,34,232,14.65517241
2019 Q4,149,28,177,15.81920904
2020 Q1,148,28,176,15.90909091
2020 Q2,14,10,24,41.66666667
2020 Q3,114,31,145,21.37931034
2020 Q4,92,47,139,33.81294964
2021 Q1,92,27,119,22.68907563
2021 Q2,114,45,159,28.30188679
2021 Q3,120,37,157,23.56687898
2021 Q4,101,50,151,33.11258278
2022 Q1,121,35,156,22.43589744
2022 Q2,119,31,150,20.66666667
2022 Q3,148,36,184,19.56521739
2022 Q4,118,30,148,20.27027027
2023 Q1,160,49,209,23.44497608
2023 Q2,146,32,178,17.97752809
2023 Q3,145,55,200,27.5
2023 Q4,144,37,181,20.44198895
2024 Q1,182,35,217,16.12903226
2024 Q2,145,36,181,19.88950276
2024 Q3,138,42,180,23.33333333
2024 Q4,130,37,167,22.15568862
2025 Q1,141,36,177,20.33898305
