Disposition Quarter,Number of cases with no continuances,Number of cases with at least one continuance,Total Cases,Percent of cases with at 3+ continuances
2019 Q1,169,17,186,9.139784946
2019 Q2,160,12,172,6.976744186
2019 Q3,138,22,160,13.75
2019 Q4,138,11,149,7.382550336
2020 Q1,123,25,148,16.89189189
2020 Q2,26,1,27,3.703703704
2020 Q3,129,12,141,8.510638298
2020 Q4,103,8,111,7.207207207
2021 Q1,91,16,107,14.95327103
2021 Q2,142,16,158,10.12658228
2021 Q3,138,14,152,9.210526316
2021 Q4,128,10,138,7.246376812
2022 Q1,101,14,115,12.17391304
2022 Q2,109,8,117,6.837606838
2022 Q3,122,18,140,12.85714286
2022 Q4,86,13,99,13.13131313
2023 Q1,142,18,160,11.25
2023 Q2,102,10,112,8.928571429
2023 Q3,131,15,146,10.2739726
2023 Q4,121,15,136,11.02941176
2024 Q1,120,12,132,9.090909091
2024 Q2,127,8,135,5.925925926
2024 Q3,126,12,138,8.695652174
2024 Q4,116,5,121,4.132231405
2025 Q1,132,7,139,5.035971223
